"Position","Company","Location","Salary","Timestamp"
SPECIALISTA KYBERBEZPEČNOSTI: Identity and Access Specialist,TOTAL SERVICE a.s.,Praha – Holešovice,Not specified,"2022-02-09 13:30:25.000000"
Datový business analytik se zájmem o computer vision a AI,Generali Česká pojišťovna,Praha – Nusle,Not specified,"2022-02-09 13:13:54.000000"
Azure Data Engineer,Currys CoE s.r.o.,Brno – Trnitá,Not specified,"2022-02-09 13:10:33.000000"
Linux administrátor - senior,"Správa železnic, státní organizace",Praha,"60 000–85 000Kč","2022-02-09 12:42:39.000000"
Senior C# developer,"Steiner, s.r.o.",Praha – Strašnice,Not specified,"2022-02-09 11:48:08.000000"
Dev/Ops (Developer and/or IT Ops) (Energy Sector),"Sev.en Commodities AG, odštěpný závod",Praha – Nové Město,Not specified,"2022-02-09 11:40:13.000000"
Senior Java Search (Elastic) Developer for ACDC,"Actum X, s.r.o.",Praha – Holešovice,"110 000–140 000Kč","2022-02-09 11:04:09.000000"
Software Security Architect,SII s.r.o.,Praha – Michle,Not specified,"2022-02-09 10:51:16.000000"
Risk Analyst – Risk Dpt.,MND a.s.,Hlavní město Praha,Not specified,"2022-02-09 10:43:40.000000"
Business Data Tester,"KBC Group, Shared Service Center CZ",Brno,Not specified,"2022-02-09 10:43:33.000000"
PLC technik,TE connectivity,Kuřim,"45 000–55 000Kč","2022-02-09 10:38:07.000000"
Programátor PHP,INIZIO Internet Media s.r.o.,České Budějovice – České Budějovice 6,"25 000–50 000Kč","2022-02-09 10:37:05.000000"
"Programátor C++, Nikon Imaging Software",Laboratory Imaging s.r.o.,Praha – Hostivař,"50 000–80 000Kč","2022-02-09 10:29:50.000000"
Marketing Data Analyst,Future Recruitment s.r.o.,Praha,Not specified,"2022-02-09 10:21:54.000000"
Business Analyst,Future Recruitment s.r.o.,Praha,Not specified,"2022-02-09 10:20:31.000000"
Mobile developer for Security software (iOS or Android),Natek,Praha – Michle,Not specified,"2022-02-09 10:07:38.000000"
Senior Software Engineer (JR100213),Tricentis CZ s.r.o.,Praha – Karlín,Not specified,"2022-02-09 09:48:02.000000"
"IT Graduates - C#, F#, Java, Tester, BA","Barclays Execution Services Limited, odštěpný závod",Praha – Nusle,Not specified,"2022-02-09 09:41:39.000000"
Projektový manažer pro implementaci reportingového systému,MMG Operations s.r.o.,Praha – Nové Město,Not specified,"2022-02-09 09:22:38.000000"
DATA ENGINEER (Databricks),Atlas Copco Services s.r.o.,Brno – Štýřice,Not specified,"2022-02-09 09:22:37.000000"
Test Engineer - Linux,"Wistron InfoComm (Czech), s.r.o.",Brno – Černovice,Not specified,"2022-02-09 09:15:54.000000"
Test Engineer Junior,"Wistron InfoComm (Czech), s.r.o.",Brno – Černovice,Not specified,"2022-02-09 09:14:44.000000"
Senior Java Developer - Software for Datacenters' Management,EATON,Roztoky,Not specified,"2022-02-09 09:06:56.000000"
Senior Web Interface Developer,Leuze Engineering Czech s.r.o.,Plzeň – Lobzy,Not specified,"2022-02-09 08:33:13.000000"
DevOps Engineer Infrastructure (English),TRIVALENT s. r. o.,Praha – Nusle,"195 000–210 000Kč","2022-02-08 19:35:12.000000"
Analytik ekonomiky,ČESKÁ NÁRODNÍ BANKA,Praha – Nové Město,Not specified,"2022-02-08 18:58:37.000000"
Software Development Project Leader (f/m/d),"Porsche Engineering Services, s.r.o.",Ostrava – Pustkovec + 1 další lokalita,Not specified,"2022-02-08 16:45:36.000000"
Junior Tester/ka řídících systémů,ComAp a.s.,Praha – Holešovice,Not specified,"2022-02-08 16:39:44.000000"
IoT Production and Test Automation Engineer,Simple Hardware s.r.o.,Praha – Podolí,Not specified,"2022-02-08 16:30:19.000000"
DevOps Engineer,"Kyndryl Česká republika, spol. s r.o.",Brno – Královo Pole,Not specified,"2022-02-08 16:12:45.000000"
Business Intelligence konzultant,"exe, a.s., odštěpný závod",Praha – Michle,Not specified,"2022-02-08 15:32:05.000000"
SW Tester - junior/medior,Talentor Advanced Search,Praha – Nové Město,Not specified,"2022-02-08 15:29:54.000000"
Chcete se stát IT specialistou?,"Česká spořitelna, a.s.",Praha – Krč,"35 000–55 000Kč","2022-02-08 14:12:36.000000"
IT Security Support Specialist,AEC a.s.,Praha – Libeň,Not specified,"2022-02-08 14:09:01.000000"
SIEM specialista,AEC a.s.,Brno – Žabovřesky,Not specified,"2022-02-08 13:59:41.000000"
DATA & RISK ANALYST,"COOL CREDIT, s.r.o.",Praha – Nové Město,Not specified,"2022-02-08 13:53:44.000000"
Embedded C/C++ developer,Valatron s.r.o.,Praha – Nusle,Not specified,"2022-02-08 13:39:10.000000"
SIEM  Security Specialist,AEC a.s.,Praha – Libeň,Not specified,"2022-02-08 12:31:39.000000"
Solution Analyst,Analytics Data Factory s.r.o.,Praha – Karlín,Not specified,"2022-02-08 12:25:29.000000"
Credit Data Analyst,Creditinfo CEE s.r.o.,Praha – Karlín,Not specified,"2022-02-08 12:21:00.000000"
BUSSINES/TECHNICAL CONSULTANT,"EUROSOFTWARE, s.r.o.",Plzeň – Jižní Předměstí,Not specified,"2022-02-08 12:19:08.000000"
JAVA developer (Retail Segment),"Komerční banka, a.s.",Praha – Stodůlky,"60 000–100 000Kč","2022-02-08 11:58:41.000000"
Senior Configuration Engineer / Solution Architect,Pricefx s.r.o.,Praha – Karlín,Not specified,"2022-02-08 10:13:37.000000"
